
Country	Currency	Code	Number
URUGUAY	Peso Uruguayo	UYU	858
URUGUAY	Uruguay Peso en Unidades Indexadas (URUIURUI)	UYI	940
UNITED STATES OF AMERICA (THE)	US Dollar (Next day)	USN	997
AMERICAN SAMOA	US Dollar	USD	840
BONAIRE, SINT EUSTATIUS AND SABA	US Dollar	USD	840
BRITISH INDIAN OCEAN TERRITORY (THE)	US Dollar	USD	840
ECUADOR	US Dollar	USD	840
EL SALVADOR	US Dollar	USD	840
GUAM	US Dollar	USD	840
HAITI	US Dollar	USD	840
MARSHALL ISLANDS (THE)	US Dollar	USD	840
MICRONESIA (FEDERATED STATES OF)	US Dollar	USD	840
NORTHERN MARIANA ISLANDS (THE)	US Dollar	USD	840
PALAU	US Dollar	USD	840
PANAMA	US Dollar	USD	840
PUERTO RICO	US Dollar	USD	840
TIMOR-LESTE	US Dollar	USD	840
TURKS AND CAICOS ISLANDS (THE)	US Dollar	USD	840
UNITED STATES MINOR OUTLYING ISLANDS (THE)	US Dollar	USD	840
UNITED STATES OF AMERICA (THE)	US Dollar	USD	840
VIRGIN ISLANDS (BRITISH)	US Dollar	USD	840
VIRGIN ISLANDS (U.S.)	US Dollar	USD	840
UGANDA	Uganda Shilling	UGX	800
UKRAINE	Hryvnia	UAH	980
TANZANIA, UNITED REPUBLIC OF	Tanzanian Shilling	TZS	834
TAIWAN (PROVINCE OF CHINA)	New Taiwan Dollar	TWD	901
TRINIDAD AND TOBAGO	Trinidad and Tobago Dollar	TTD	780
TURKEY	Turkish Lira	TRY	949
TONGA	Pa’anga	TOP	776
TUNISIA	Tunisian Dinar	TND	788
TURKMENISTAN	Turkmenistan New Manat	TMT	934
TAJIKISTAN	Somoni	TJS	972
THAILAND	Baht	THB	764
SWAZILAND	Lilangeni	SZL	748
SYRIAN ARAB REPUBLIC	Syrian Pound	SYP	760
EL SALVADOR	El Salvador Colon	SVC	222
SAO TOME AND PRINCIPE	Dobra	STN	930
SOUTH SUDAN	South Sudanese Pound	SSP	728
SURINAME	Surinam Dollar	SRD	968
SOMALIA	Somali Shilling	SOS	706
SIERRA LEONE	Leone	SLE	925
SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA	Saint Helena Pound	SHP	654
SINGAPORE	Singapore Dollar	SGD	702
SWEDEN	Swedish Krona	SEK	752
SUDAN (THE)	Sudanese Pound	SDG	938
SEYCHELLES	Seychelles Rupee	SCR	690
SOLOMON ISLANDS	Solomon Islands Dollar	SBD	090
SAUDI ARABIA	Saudi Riyal	SAR	682
RWANDA	Rwanda Franc	RWF	646
RUSSIAN FEDERATION (THE)	Russian Ruble	RUB	643
SERBIA	Serbian Dinar	RSD	941
ROMANIA	Romanian Leu	RON	946
QATAR	Qatari Rial	QAR	634
PARAGUAY	Guarani	PYG	600
POLAND	Zloty	PLN	985
PAKISTAN	Pakistan Rupee	PKR	586
PHILIPPINES (THE)	Philippine Peso	PHP	608
PAPUA NEW GUINEA	Kina	PGK	598
PERU	Nuevo Sol	PEN	604
PANAMA	Balboa	PAB	590
OMAN	Rial Omani	OMR	512
COOK ISLANDS (THE)	New Zealand Dollar	NZD	554
NEW ZEALAND	New Zealand Dollar	NZD	554
NIUE	New Zealand Dollar	NZD	554
PITCAIRN	New Zealand Dollar	NZD	554
TOKELAU	New Zealand Dollar	NZD	554
NEPAL	Nepalese Rupee	NPR	524
BOUVET ISLAND	Norwegian Krone	NOK	578
NORWAY	Norwegian Krone	NOK	578
SVALBARD AND JAN MAYEN	Norwegian Krone	NOK	578
NICARAGUA	Cordoba Oro	NIO	558
NIGERIA	Naira	NGN	566
NAMIBIA	Namibia Dollar	NAD	516
MOZAMBIQUE	Mozambique Metical	MZN	943
MALAYSIA	Malaysian Ringgit	MYR	458
MEXICO	Mexican Unidad de Inversion (UDI)	MXV	979
MEXICO	Mexican Peso	MXN	484
MALAWI	Kwacha	MWK	454
MALDIVES	Rufiyaa	MVR	462
MAURITIUS	Mauritius Rupee	MUR	480
MAURITANIA	Ouguiya	MRU	929
MACAO	Pataca	MOP	446
MONGOLIA	Tugrik	MNT	496
MYANMAR	Kyat	MMK	104
REPUBLIC OF NORTH MACEDONIA	Denar	MKD	807
MADAGASCAR	Malagasy Ariary	MGA	969
MOLDOVA (THE REPUBLIC OF)	Moldovan Leu	MDL	498
MOROCCO	Moroccan Dirham	MAD	504
WESTERN SAHARA	Moroccan Dirham	MAD	504
LIBYA	Libyan Dinar	LYD	434
LESOTHO	Loti	LSL	426
LIBERIA	Liberian Dollar	LRD	430
SRI LANKA	Sri Lanka Rupee	LKR	144
LEBANON	Lebanese Pound	LBP	422
LAO PEOPLE’S DEMOCRATIC REPUBLIC (THE)	Kip	LAK	418
KAZAKHSTAN	Tenge	KZT	398
CAYMAN ISLANDS (THE)	Cayman Islands Dollar	KYD	136
KUWAIT	Kuwaiti Dinar	KWD	414
KOREA (THE REPUBLIC OF)	Won	KRW	410
KOREA (THE DEMOCRATIC PEOPLE’S REPUBLIC OF)	North Korean Won	KPW	408
COMOROS (THE)	Comoro Franc	KMF	174
CAMBODIA	Riel	KHR	116
KYRGYZSTAN	Som	KGS	417
KENYA	Kenyan Shilling	KES	404
JAPAN	Yen	JPY	392
JORDAN	Jordanian Dinar	JOD	400
JAMAICA	Jamaican Dollar	JMD	388
ICELAND	Iceland Krona	ISK	352
IRAN (ISLAMIC REPUBLIC OF)	Iranian Rial	IRR	364
IRAQ	Iraqi Dinar	IQD	368
BHUTAN	Indian Rupee	INR	356
INDIA	Indian Rupee	INR	356
ISRAEL	New Israeli Sheqel	ILS	376
INDONESIA	Rupiah	IDR	360
HUNGARY	Forint	HUF	348
HAITI	Gourde	HTG	332
HONDURAS	Lempira	HNL	340
HONG KONG	Hong Kong Dollar	HKD	344
GUYANA	Guyana Dollar	GYD	328
GUATEMALA	Quetzal	GTQ	320
GUINEA	Guinea Franc	GNF	324
GAMBIA (THE)	Dalasi	GMD	270
GIBRALTAR	Gibraltar Pound	GIP	292
GHANA	Ghana Cedi	GHS	936
GEORGIA	Lari	GEL	981
GUERNSEY	Pound Sterling	GBP	826
ISLE OF MAN	Pound Sterling	GBP	826
JERSEY	Pound Sterling	GBP	826
UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE)	Pound Sterling	GBP	826
FALKLAND ISLANDS (THE) [MALVINAS]	Falkland Islands Pound	FKP	238
FIJI	Fiji Dollar	FJD	242
ÅLAND ISLANDS	Euro	EUR	978
ANDORRA	Euro	EUR	978
AUSTRIA	Euro	EUR	978
BELGIUM	Euro	EUR	978
BULGARIA	Euro	EUR	978
CROATIA	Euro	EUR	978
CYPRUS	Euro	EUR	978
ESTONIA	Euro	EUR	978
FINLAND	Euro	EUR	978
FRANCE	Euro	EUR	978
FRENCH GUIANA	Euro	EUR	978
FRENCH SOUTHERN TERRITORIES (THE)	Euro	EUR	978
GERMANY	Euro	EUR	978
GREECE	Euro	EUR	978
GUADELOUPE	Euro	EUR	978
HOLY SEE (THE)	Euro	EUR	978
IRELAND	Euro	EUR	978
ITALY	Euro	EUR	978
LATVIA	Euro	EUR	978
LITHUANIA	Euro	EUR	978
LUXEMBOURG	Euro	EUR	978
MALTA	Euro	EUR	978
MARTINIQUE	Euro	EUR	978
MAYOTTE	Euro	EUR	978
MONACO	Euro	EUR	978
MONTENEGRO	Euro	EUR	978
NETHERLANDS (THE)	Euro	EUR	978
PORTUGAL	Euro	EUR	978
RÉUNION	Euro	EUR	978
SAINT BARTHÉLEMY	Euro	EUR	978
SAINT MARTIN (FRENCH PART)	Euro	EUR	978
SAINT PIERRE AND MIQUELON	Euro	EUR	978
SAN MARINO	Euro	EUR	978
SLOVAKIA	Euro	EUR	978
SLOVENIA	Euro	EUR	978
SPAIN	Euro	EUR	978
ETHIOPIA	Ethiopian Birr	ETB	230
ERITREA	Nakfa	ERN	232
EGYPT	Egyptian Pound	EGP	818
ALGERIA	Algerian Dinar	DZD	012
DOMINICAN REPUBLIC (THE)	Dominican Peso	DOP	214
DENMARK	Danish Krone	DKK	208
FAROE ISLANDS (THE)	Danish Krone	DKK	208
GREENLAND	Danish Krone	DKK	208
DJIBOUTI	Djibouti Franc	DJF	262
CZECH REPUBLIC (THE)	Czech Koruna	CZK	203
CABO VERDE	Cabo Verde Escudo	CVE	132
CUBA	Cuban Peso	CUP	192
CUBA	Peso Convertible	CUC	931
COSTA RICA	Costa Rican Colon	CRC	188
COLOMBIA	Unidad de Valor Real	COU	970
COLOMBIA	Colombian Peso	COP	170
CHINA	Yuan Renminbi	CNY	156
CHILE	Chilean Peso	CLP	152
CHILE	Unidad de Fomento	CLF	990
SWITZERLAND	WIR Franc	CHW	948
LIECHTENSTEIN	Swiss Franc	CHF	756
SWITZERLAND	Swiss Franc	CHF	756
SWITZERLAND	WIR Euro	CHE	947
CONGO (THE DEMOCRATIC REPUBLIC OF THE)	Congolese Franc	CDF	976
CANADA	Canadian Dollar	CAD	124
BELIZE	Belize Dollar	BZD	084
BELARUS	Belarussian Ruble	BYN	933
BOTSWANA	Pula	BWP	072
BHUTAN	Ngultrum	BTN	064
BAHAMAS (THE)	Bahamian Dollar	BSD	044
BRAZIL	Brazilian Real	BRL	986
BOLIVIA (PLURINATIONAL STATE OF)	Mvdol	BOV	984
BOLIVIA (PLURINATIONAL STATE OF)	Boliviano	BOB	068
BRUNEI DARUSSALAM	Brunei Dollar	BND	096
BERMUDA	Bermudian Dollar	BMD	060
BURUNDI	Burundi Franc	BIF	108
BAHRAIN	Bahraini Dinar	BHD	048
BANGLADESH	Taka	BDT	050
BARBADOS	Barbados Dollar	BBD	052
BOSNIA AND HERZEGOVINA	Convertible Mark	BAM	977
AZERBAIJAN	Azerbaijanian Manat	AZN	944
ARUBA	Aruban Florin	AWG	533
AUSTRALIA	Australian Dollar	AUD	036
CHRISTMAS ISLAND	Australian Dollar	AUD	036
COCOS (KEELING) ISLANDS (THE)	Australian Dollar	AUD	036
HEARD ISLAND AND McDONALD ISLANDS	Australian Dollar	AUD	036
KIRIBATI	Australian Dollar	AUD	036
NAURU	Australian Dollar	AUD	036
NORFOLK ISLAND	Australian Dollar	AUD	036
TUVALU	Australian Dollar	AUD	036
ARGENTINA	Argentine Peso	ARS	032
ANGOLA	Kwanza	AOA	973
ARMENIA	Armenian Dram	AMD	051
ALBANIA	Lek	ALL	008
AFGHANISTAN	Afghani	AFN	971
UNITED ARAB EMIRATES (THE)	UAE Dirham	AED	784
ANTARCTICA	No universal currency		
PALESTINE, STATE OF	No universal currency		
SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS	No universal currency	
